Sphacelotheca hydropiperis	species	Microbotryaceae
Elymus sajanensis	species	Poaceae
Alpinia chinensis	species	Zingiberaceae
Schiffneriolejeunea	genus	Lejeuneaceae
Trifolium squarrosum	species	Fabaceae
Zizaniopsis	genus	Poaceae
Coccocarpia erythroxyli	species	Coccocarpiaceae
Rhododendron viridescens	species	Ericaceae
Perkinsus sp. KSR-2007	species	Perkinsidae
Palaua dissecta	species	Malvaceae
Sporothrix sp. 1-CMW9492	species	Ophiostomataceae
Otidea rainierensis	species	Pyronemataceae
Cystobasidiopsis	genus	Chionosphaeraceae
Auxarthron zuffianum	species	Onygenaceae
Petalonia fascia	species	Scytosiphonaceae
Poa fawcettiae	species	Poaceae
Geotrichum sp. AL4	species	Dipodascaceae
Nephroma bellum	species	Nephromataceae
Uromyces transversalis	species	Pucciniaceae
Eugenia capparidifolia	species	Myrtaceae
Tuzibeanthus	genus	Lejeuneaceae
Trimezia sincorana	species	Iridaceae
Romanzoffia californica	species	Hydrophyllaceae
Colletotrichum paxtonii	species	Glomerellaceae
Fargesia altior	species	Poaceae
Acer x pseudoheldreichii	species	Sapindaceae
Fusarium dimerum	species	Nectriaceae
Sideroxylon confertum	species	Sapotaceae
Coprinopsis xenobia	species	Psathyrellaceae
Ficus fischeri	species	Moraceae
Tetracera asiatica	species	Dilleniaceae
Ephyrina	genus	Oplophoridae
Paranoplocephala kalelai	species	Anoplocephalidae
Pseudolachnella botulispora	species	Chaetosphaeriaceae
Veronica fruticulosa	species	Plantaginaceae
Clermontia waimeae	species	Campanulaceae
Sympetrum pedemontanum	species	Libellulidae
Sisyrinchium aff. palmifolium Lovo 195	species	Iridaceae
Entomophthoraceae	family	Entomophthoraceae
Melocalamus	genus	Poaceae
Aplysina clathrata	species	Aplysinidae
Ichnanthus lancifolius	species	Poaceae
Pectinia	genus	Merulinidae
Ramaria aff. ignicolor MA-48071	species	Gomphaceae
Bulimulidae	family	Bulimulidae
Corollospora	genus	Halosphaeriaceae
Chamaedrilus aff. glandulosus A SM-2014	species	Enchytraeidae
Tocoyena pittieri	species	Rubiaceae
Aurelia sp. TET	species	Ulmaridae
Parmelina cryptotiliacea	species	Parmeliaceae
Cercospora sp. Vega420	species	Mycosphaerellaceae
Oreocarya hypsophila	species	Boraginaceae
Pterostylis allantoidea	species	Orchidaceae
Peristylus biermannianus	species	Orchidaceae
Bromus cebadilla	species	Poaceae
Artemisia indica	species	Asteraceae
Trichoderma stromaticum	species	Hypocreaceae
Roella	genus	Campanulaceae
Vorticella sp. 4 PS-2013	species	Vorticellidae
Nyctaginia	genus	Nyctaginaceae
Asclepias cutleri	species	Apocynaceae
Sium frigidum	species	Apiaceae
Coelastrea palauensis	species	Merulinidae
Diandrolyra bicolor	species	Poaceae
Umimayanthus miyabi	species	Parazoanthidae
Siepmannia	genus	Lentamycetaceae
Ficus	genus	Moraceae
Brycekendrickomyces acaciae	species	Trichomeriaceae
Penaea cneorum	species	Penaeaceae
Pseudotrimezia laevis	species	Iridaceae
Navarretia capillaris	species	Polemoniaceae
Fimbristylis	genus	Cyperaceae
Tetrataenium sublineare	species	Apiaceae
Halosciastrum melanotilingia	species	Apiaceae
Lonchocarpus cochleatus	species	Fabaceae
Cortinarius sp. PDD 97534	species	Cortinariaceae
Gyrodactyloides bychowskii	species	Gyrodactylidae
Eugenia biflora	species	Myrtaceae
Cladoriella eucalypti	species	Herpotrichiellaceae
Fatsia japonica	species	Araliaceae
Senecio cremeiflorus	species	Asteraceae
Oxalis compacta	species	Oxalidaceae
Brunfelsia brasiliensis	species	Solanaceae
Culicoides cylindratus	species	Ceratopogonidae
Cardamine glauca	species	Brassicaceae
Terrazoanthus sinnigeri	species	Hydrozoanthidae
Sempervivum dolomiticum	species	Crassulaceae
Poecilimon excisus	species	Tettigoniidae
Monachather	genus	Poaceae
Cortinarius meleagris	species	Cortinariaceae
Arionidae	family	Arionidae
Genea hispidula	species	Pyronemataceae
Rectolejeunea	genus	Lejeuneaceae
Cephaloflexa	genus	Geoplanidae
Heterobasidion sp. Cui22	species	Bondarzewiaceae
Achillea micrantha	species	Asteraceae
Prunus mira	species	Rosaceae
Teucrium cubense	species	Lamiaceae
Ortachne rariflora	species	Poaceae
Metarhizium majus	species	Clavicipitaceae
Abrotanella caespitosa	species	Asteraceae
Oxalis deserticola	species	Oxalidaceae
Amphinema sp. 1 DK-2015	species	Atheliaceae
Fusarium domesticum	species	Nectriaceae
Dupontiopsis hayachinensis	species	Poaceae
Melanoleuca humilis	species	Tricholomataceae
Cortinarius luteicolor	species	Cortinariaceae
Gymnadenia x densiflora	species	Orchidaceae
Cantharellus cinnabarinus	species	Cantharellaceae
Leucosceptrum canum	species	Lamiaceae
Artemiidae	family	Artemiidae
Eucalyptus boliviana	species	Myrtaceae
Dontostemon	genus	Brassicaceae
Begonia chitoensis	species	Begoniaceae
Phaeothecoidea minutispora	species	Teratosphaeriaceae
Taraxia subacaulis	species	Onagraceae
Pterostylis timorensis	species	Orchidaceae
Sandbergia	genus	Brassicaceae
Tropaeolaceae	family	Tropaeolaceae
Glomerella sp. Pap8	species	Glomerellaceae
Anthonomus	genus	Curculionidae
Nymphaea nouchali	species	Nymphaeaceae
Fargesia murielae	species	Poaceae
Ptilotus polystachyus	species	Amaranthaceae
Strumaria bidentata	species	Amaryllidaceae
Glomerella sp. Pap6	species	Glomerellaceae
Glomerella sp. Pap5	species	Glomerellaceae
